X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.158041448866,-8.28840129076424,"2","4","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.108573621837,-8.5313631154967,"150","585","CI Gate Valve All Flanges 6"" (Penguras)",,,Gate Valve,,,,,,,,,,,./0.png
115.108817705362,-8.53311849993544,"152","597","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.027457635747,-8.44028190555587,"254","943","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA MEKORI,Barat Villa Ceti 10m,,,,,./0.png
115.023632820684,-8.45310450421821,"255","944","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA MEKORI,,,,,,./0.png
115.159633475596,-8.28726353095265,"361","1360","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,,,,,,,./0.png
115.142664455911,-8.58746625679315,"520","2146",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.145149071686,-8.55382007135702,"574","2377",,,CI Gate Valve AF 2'',Gate Valve,,,,,,Pertigaan Jalan,,,,,./0.png
115.158078542825,-8.28836805543478,"1","1","CI Gate Valve All Flanges 2""",,,Gate Valve,,"2""",,,WTP Bukit Catu,,,,,,./0.png
115.15808151783,-8.28837468228685,"3","5","CI Gate Valve All Flanges 8""",,,Gate Valve,,"8""",,,WTP Bukit Catu,,,,,,./0.png
115.161749024078,-8.2836246686589,"4","9","CI gate Valve All Flanges 8""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.161746027352,-8.28362259940628,"5","12","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.161729080275,-8.28382321567704,"6","15","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.160043060401,-8.28418871656476,"7","27","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,WTP Bukit Catu & IPA Candi Kuning Pompa 22kw,,,,,,./0.png
115.160039123506,-8.28419460212242,"8","28","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.157889585866,-8.28327452912747,"9","35","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.159878467135,-8.28360787515591,"10","40","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.159657367873,-8.28171344359063,"11","50","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.159669600032,-8.28172334947734,"12","52","CI gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.16119285439,-8.27913629338238,"13","67","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.160848468035,-8.2776889141005,"14","76","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.161744398953,-8.2838180373055,"15","79","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,Tutup Full,,,./0.png
115.163507770463,-8.28432322289058,"16","81","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,1/4 selah,,,./0.png
115.161656869103,-8.28383580176937,"17","82","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,2 selah,,,./0.png
115.169532994782,-8.28608262279349,"18","87","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.16956897375,-8.28570652613605,"19","88","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.168703566923,-8.2874364998136,"20","93","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.168333396141,-8.28972995067126,"21","94","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.171491128715,-8.2932350516002,"22","96","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 15kw Resv. Bukit Mungsu,,,,,,./0.png
115.152926522966,-8.28937443105576,"23","104","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,WTP Bukit Catu,,,,,,./0.png
115.157580476453,-8.28775607801008,"24","109","CI Gate Valve All Flanges 2""",,,Gate Valve,,"2""",,,WTP Bukit Catu,,,,,,./0.png
115.195393997511,-8.39241747903284,"25","118","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.195677912249,-8.39604338025625,"26","122","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.196696142017,-8.40394943389351,"27","125","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.194119266134,-8.40922319004383,"28","128","Brass Gate Valve 1""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,Tutup Full,,,./0.png
115.196947641971,-8.40550585309025,"29","133","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.195429252325,-8.39314857348058,"30","136","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.195923364232,-8.3977331079874,"31","137","CI Gate Falve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.196081230353,-8.39882947263125,"32","138","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.196449465811,-8.40157514971804,"33","139","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,,,,./0.png
115.194376861787,-8.41296690636682,"34","140","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,Tutup Full,,,./0.png
115.199460105809,-8.42900008650913,"35","141","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,3/4 Selah,,,./0.png
115.199441319078,-8.42903794657252,"36","144","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,3 Selah,,,./0.png
115.199450593005,-8.42903384745321,"37","145","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,2 Selah,,,./0.png
115.198226834562,-8.43315899492902,"38","147","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi,,,"11/2"" Selah",,,./0.png
115.198113636662,-8.43354233048859,"39","149","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi & MA Kerobokan,,,,,,./0.png
115.195016705111,-8.44045677197277,"40","150","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi & MA Kerobokan,,,2 Selah,,,./0.png
115.196062657852,-8.43831434323356,"41","151","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi & MA Kerobokan,,,2 Selah,,,./0.png
115.193005443329,-8.44355336005775,"42","152","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,Resv. Luwus Gravitasi & MA Kerobokan,,,2 Selah,,,./0.png
115.20667702502,-8.40956618813071,"43","169","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Temacun Gravitasi & MA Kerobokan Resv. Bukit Gede Gravitasi,,,Tutup Full,,,./0.png
115.206718383783,-8.4096157286817,"44","174","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.20668216794,-8.40961863047477,"45","177","CI gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.206683377974,-8.43211719836392,"46","178","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,Tutup Full,,,./0.png
115.207071991665,-8.43002473027982,"47","179","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,1 Selah,,,./0.png
115.206817466855,-8.42377849547333,"48","180","Brass Gate Valve 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,3 Selah,,,./0.png
115.204090565202,-8.43189084145192,"49","189","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi & Resv. Luwus,,,Tutup Full,,,./0.png
115.206298273447,-8.43223049954961,"50","191","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.210284260316,-8.43274472877001,"51","193","CI gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.204222799108,-8.44856468812979,"52","196","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.20531539745,-8.44437261941089,"53","197","CI gate Valve ALl Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,,,,./0.png
115.212502228918,-8.4332579890033,"54","199","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi & MA Kacagan Gravitasi,,,,,,./0.png
115.212591817192,-8.43705865520228,"55","200","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Kerobokan Kacagan Gravitasi,,,,,,./0.png
115.212600521375,-8.43708316808048,"56","201","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Kerobokan Kacagan Gravitasi,,,,,,./0.png
115.206959909817,-8.45349411375019,"57","209","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Kacagan Gravitasi,,,,,,./0.png
115.206967105571,-8.45350821097388,"58","210","CI gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Kacagan Gravitasi,,,,,,./0.png
115.212608926623,-8.43674936545133,"59","213","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.212565858004,-8.43705808033461,"60","214","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.213610577336,-8.43815203481273,"61","216","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.213113685278,-8.43984790316895,"62","218","CI gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.205614994566,-8.45725672447432,"63","252","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.205316236892,-8.4590628349075,"64","257","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.204631742625,-8.46241899769069,"65","261","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kacagan Gravitasi,,,,,,./0.png
115.196247470775,-8.36657273707521,"66","271","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.192365590658,-8.36859863161905,"67","272","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kerobokan Gravitasi & IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.192369561528,-8.3686067688679,"68","274","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.196273823346,-8.37629157000177,"69","280","CI gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.196566466407,-8.38043126848996,"70","283","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.197485553672,-8.38019771066066,"71","285","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.201320295123,-8.3802181744525,"72","287","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.197362185569,-8.38664356823679,"73","293","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.197914876675,-8.39184704912494,"74","295","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.202140960244,-8.39755679761173,"75","298","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Resv. Bukit Gede Gravitasi,,,Tutup Full,,,./0.png
115.20221021544,-8.39761434398286,"76","299","CI gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Temacun Gravitasi,,,,,,./0.png
115.20657299789,-8.41619324463595,"77","305","CI Gate Valve All Flanges  2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.206813494892,-8.42377641196334,"78","306","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.211573074258,-8.42349207257302,"79","307","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.212528945487,-8.42737078146591,"80","308","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Kerobokan Gravitasi,,,,,,./0.png
115.163303000001,-8.27004899999998,"81","336","CI Gate Valve 3""","PVC TEE 3"" x 3""",,Gate Valve,,,,,IPA Candi Kuning Pompa 11Kw,Di depan Balai Banjar Candi Kuning,,,,,./0.png
115.163487000001,-8.27101099999999,"82","339","Valve 8""",,,Gate Valve,,"8""",,,IPA Candi Kuning Pompa 11Kw,Di sebrang jalan masuk Hotel CLV,,,,,./0.png
115.165029000001,-8.276989,"83","344","CI Gate Valve 8"" (utara)",,,Gate Valve,,,,,IPA Candi Kuning Pompa 11Kw,DI depan Indomaret ke Kampung Jawa,,,,,./0.png
115.165023000001,-8.27698999999999,"84","345","CI Gate Valve 3"" (barat)",,,Gate Valve,,,,,IPA Candi Kuning Pompa 11Kw,DI depan Indomaret ke Kampung Jawa,,,,,./0.png
115.163305059297,-8.27011688472908,"85","367","CI Gate Valve All Flanges 3""","PVC Tee All Sockets 3""x3""",,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Di depan Balai Banjar Candi Kuning,,,,,./0.png
115.163439135514,-8.27103407242867,"86","370","CI Gate Valve All Flanges 8""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,Di sebrang jalan masuk Hotel CLV,,,,,./0.png
115.165032746977,-8.27700606380358,"87","375","CI Gate Valve All Flanges 8""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,DI depan Indomaret ke Kampung Jawa,,,,,./0.png
115.165030306703,-8.27701082785705,"88","376","CI Gate Valve All Flanges3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,DI depan Indomaret ke Kampung Jawa,,,,,./0.png
115.163360646477,-8.27011403326031,"89","383","CI gate Valve All Flanges 8""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 22kw/30kw Kembang Merta,,,,,,./0.png
115.175364148582,-8.29875354166279,"90","394","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Resevoir Taman Tanda,,,,,./0.png
115.175360343426,-8.29875091914941,"91","395","CI Gate Valve All Flanges3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Resevoir Taman Tanda,,,,,./0.png
115.175355935909,-8.29874887746023,"92","396","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Resevoir Taman Tanda,,,,,./0.png
115.177762311935,-8.29878557741367,"93","398","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Di sebelah barat pintu keluar Hotel PI Bedugul,,,,,./0.png
115.182370792816,-8.30275022288084,"94","400","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,di Desa Batunya,,,,,./0.png
115.175748906841,-8.30328843088557,"95","404","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Jalan menuju Dusnun Pekarangan,,,,,./0.png
115.175718132788,-8.30328338215699,"96","405","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Jalan menuju Dusnun Pekarangan,,,,,./0.png
115.173800037608,-8.30441915851658,"97","406","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Dusun Pekarangan,,,,,./0.png
115.17367228719,-8.30460495456664,"98","409","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Dusun Pekarangan,,,,,./0.png
115.173608567607,-8.30457937219231,"99","410","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Dusun Pekarangan,,,,,./0.png
115.17401066058,-8.30477813215205,"100","411","CI Gate Valve  All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Dusun Pekarangan,,,,,./0.png
115.173996620546,-8.30477775987606,"101","413","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,Dusun Pekarangan,,,,,./0.png
115.177887458044,-8.30650807752863,"102","424","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,DI sebelah Utara RM Mutiara Sari,,,,,./0.png
115.177881656735,-8.30650714510185,"103","426","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55 Kw,DI sebelah Utara RM Mutiara Sari,,,,,./0.png
115.180828846067,-8.31107333891424,"104","429","CI Gate Valve All Flanges 4""x3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.177491979347,-8.31172941912543,"105","433","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.17886797239,-8.3195579759346,"106","438","CI gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.179409800254,-8.32052558509309,"107","439","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.181545086943,-8.31221654876188,"108","445","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.181680258513,-8.31238967480744,"109","449","CI Gate Valve All Flange 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.183101618288,-8.31578086561113,"110","454","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.183096168791,-8.31577597203892,"111","455","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.184719493212,-8.32175654687093,"112","457","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.185767252122,-8.32591553329602,"113","465","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.186936590486,-8.32719684775518,"114","469","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.186069599283,-8.32773884528628,"115","476","Bras Gate Valve 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.186397243829,-8.32961909411594,"116","477","CI gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.186461069467,-8.3297034045034,"117","478","Brass Gate Valve 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.187311376275,-8.33582270096441,"118","480","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.188875251175,-8.34015293472691,"119","481","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.18885882325,-8.34027840144508,"120","482","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.18900672655,-8.35076054896409,"121","491","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.189013149804,-8.3507686991602,"122","492","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.189660871668,-8.35344989607947,"123","494","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.189615469619,-8.3534506284665,"124","497","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.189875058945,-8.35656600111083,"125","498","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.190569018235,-8.35897568646011,"126","499","CI gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.192322312088,-8.36858892094098,"127","501","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.192325469375,-8.36861264535676,"128","504","CI Gate Valve All Sockets 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.19522552104,-8.38786928567982,"129","508","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.195233099639,-8.38788585886698,"130","511","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.195329796232,-8.39224552395705,"131","513","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,IPA Candi Kuning Pompa 55kw,,,,,,./0.png
115.113976193959,-8.52360937550456,"132","516","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.113929818393,-8.52370989571626,"133","518","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,Depan Pilar Penyengker Griya,,,,,./0.png
115.118649219715,-8.51215530699979,"134","520","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,3m Kurang Lebih Selatan Tiang Listrik,,,,,./0.png
115.1186815534,-8.51217638778271,"135","521","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.118651455452,-8.51214917692521,"136","529","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.113794266783,-8.52727354692073,"137","536","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,"2020",./0.png
115.11366948912,-8.52743013039247,"138","543","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,"2020",./0.png
115.111996350153,-8.52674331480324,"139","551","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.112003396164,-8.52672503929911,"140","555","CI gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,"2020",./0.png
115.111968905362,-8.52671231769651,"141","556","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.111844554665,-8.52710741345184,"142","559","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,3/4 slah,,,./0.png
115.111082245321,-8.52835981436497,"143","560","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,1 Slah,,,./0.png
115.111104797011,-8.5283976480492,"144","561","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,1 Slah,,,./0.png
115.1076592847,-8.52915605268366,"145","566","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107524668091,-8.52939687588874,"146","571","CI Gate Valve Al Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107506102372,-8.52935489805326,"147","572","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107396109732,-8.52954920594603,"148","576","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.10742035705,-8.52958368873978,"149","578","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108183706038,-8.53088897609621,"151","586","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,1.5m Selatan Tiang Listrik,,,,,./0.png
115.108827004939,-8.53310656282076,"153","598","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.110672006881,-8.5297522580466,"154","602","CI Gate Valve All Flanges 2""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.109625592016,-8.53381685412444,"155","615","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108794588824,-8.5330953179222,"156","619","CI Gate Valve All Fanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108800573873,-8.53309502529711,"157","622","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.108566523471,-8.53135280830838,"158","632","CI Gate Valve All Flanges 6""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.10859635964,-8.53332514295825,"159","635","CI Gate Valve All Flanges 2""",,,Gate Valve,,"4""",,,MA Riang Gede Gravitasi,,,,,,./0.png
115.107327107447,-8.53668174802066,"160","637","CI Gate Valve All Sockets 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,8 m dari pipa induk,,,,,./0.png
115.10670687419,-8.53652247910583,"161","639","CI Gate Valve All Flanges 3""",,,Gate Valve,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
